Price,Close,High,Low,Open,Volume
Ticker,BYD,BYD,BYD,BYD,BYD
Date,,,,,
2016-05-25,17.420251846313477,17.570588281030496,17.326291126577424,17.326291126577424,1263700
2016-05-26,17.3262939453125,17.579985600074608,17.147768727985717,17.439045393617445,1023700
2016-05-27,17.683340072631836,17.7585082915276,17.307498978153014,17.307498978153014,1171800
2016-05-31,17.767908096313477,17.927640817430895,17.683343609124723,17.692739862384812,1251100
2016-06-01,18.247106552124023,18.54777949265776,17.95582986500098,18.209521538481262,1913100
2016-06-02,18.51958656311035,18.622943535207096,18.190726728532862,18.247102444153047,1338800
2016-06-03,18.303478240966797,18.37864645951105,17.99340911545279,18.37864645951105,1047900
2016-06-06,18.153146743774414,18.275296252243376,17.94643453456441,18.265899998349443,1023300
2016-06-07,18.19073486328125,18.482011615085767,18.17194235228677,18.265903115106692,1445300
2016-06-08,18.237707138061523,18.359856619079522,18.02159872352418,18.19072767130185,1187100
2016-06-09,18.040395736694336,18.237711696990694,18.012206974301044,18.153147201963048,1096000
2016-06-10,17.702133178710938,17.91824159138262,17.626964957253318,17.796093903570902,676600
2016-06-13,17.354480743408203,17.7303236798603,17.31689752505416,17.589381682614793,826500
2016-06-14,17.47662925720215,17.533004977653736,17.204143322741103,17.298104051594976,852500
2016-06-15,17.47662925720215,17.65515446280932,17.42025353675056,17.467233005101576,937700
2016-06-16,17.24173355102539,17.29810928854456,17.044415781479724,17.29810928854456,754400
2016-06-17,17.561195373535156,17.570591626512996,17.22293743494091,17.307501919589473,1208200
2016-06-20,17.71153450012207,17.94643548343363,17.655158765929933,17.85247473167855,1225400
2016-06-21,18.0216007232666,18.040393228916468,17.608174559729438,17.739718514974545,1602600
2016-06-22,17.626968383789062,18.134353529221492,17.617572130261337,17.99341331060982,670600
2016-06-23,17.918241500854492,17.93703400416189,17.636361119850505,17.833677028122946,1205200
2016-06-24,17.15716552734375,17.420255235357462,16.98803655734579,17.110184262259864,3218700
2016-06-27,16.39608383178711,16.969240819433722,16.320915614121077,16.884676350540477,1962500
2016-06-28,16.86589241027832,16.875286873124836,16.60280264676603,16.640385874609272,1221900
2016-06-29,17.15716552734375,17.23233375932595,16.969244051312238,17.053808536311216,1100400
2016-06-30,17.288707733154297,17.298103985218813,16.865887143162077,17.269915229025266,795700
2016-07-01,17.194744110107422,17.50481320743226,16.99742822642413,17.30749732374897,1032000
2016-07-05,17.035015106201172,17.13837209162703,16.715551481720354,17.053807611215312,1039000
2016-07-06,17.13837242126465,17.157164926640245,16.753135021824722,16.903471480525575,817600
2016-07-07,17.18535804748535,17.486031041217768,17.035019758466735,17.194752510406133,938600
2016-07-08,17.60817527770996,17.64576029054224,17.288709837243818,17.288709837243818,2104600
2016-07-11,17.589380264282227,17.843073688285056,17.523608293352265,17.730322250162775,1025700
2016-07-12,17.786697387695312,17.852469356474888,17.636360947012925,17.76790488457208,482800
2016-07-13,17.93703842163086,17.974621645349767,17.67394868698973,17.814888912201972,663900
2016-07-14,18.012205123901367,18.162541590250353,17.83367989805493,17.99341261756973,838000
2016-07-15,18.0216007232666,18.124957712188888,17.937036239994182,18.049787689589422,623300
2016-07-18,18.087371826171875,18.1719363053547,17.843074640993922,17.993411094618526,1022100
2016-07-19,17.730327606201172,18.049791305486863,17.702138842079346,18.049791305486863,751900
2016-07-20,18.012205123901367,18.068580850744226,17.561195724854407,17.767907918046255,892700
2016-07-21,17.720924377441406,18.03099349214476,17.617567408489744,17.96522152723066,828600
2016-07-22,17.777297973632812,17.78669422352288,17.44843639608618,17.551793352725486,1250000
2016-07-25,17.589380264282227,17.880658695760346,17.542400797089908,17.77730171735509,1380800
2016-07-26,17.946430206298828,18.0122021755415,17.62696481956149,17.655153574444814,1879600
2016-07-27,18.0216007232666,18.06858019523929,17.80549228474908,18.030996976091537,708000
2016-07-28,18.51018714904785,18.547770352016915,18.002800467831456,18.049779919580587,943500
2016-07-29,18.425630569458008,18.538382018658428,18.256501603505406,18.463213788474157,1209300
2016-08-01,18.265899658203125,18.500800624720622,18.16254265944674,18.41623613340215,646000
2016-08-02,17.908845901489258,18.32227202855139,17.767905705853842,18.25650005673165,1003500
2016-08-03,17.843069076538086,18.04038673048075,17.645753214746755,17.843069076538086,1508900
2016-08-04,17.288707733154297,18.35985717053529,16.912866611332824,17.739717079340064,3933500
2016-08-05,17.617572784423828,17.758513008268782,17.241731590119887,17.335692336733917,1306300
2016-08-08,17.702133178710938,17.75850889676621,17.533004232393353,17.645757460655663,995600
2016-08-09,18.209518432617188,18.31287541035385,17.542400683612357,17.64575766134902,1645700
2016-08-10,18.218914031982422,18.36925047122376,18.040390630478154,18.265895289340165,1444400
2016-08-11,18.792078018188477,18.84845375044042,18.115563854708487,18.25650408141446,2473800
2016-08-12,18.62294578552246,18.876639224696035,18.528985053367222,18.792074744971508,891000
2016-08-15,18.547780990600586,18.933018450790723,18.53838473643104,18.745098743856545,1605100
2016-08-16,18.388044357299805,18.594758320919286,18.21891540239363,18.472608834752894,1199900
2016-08-17,18.388044357299805,18.463212582574567,18.096767708379094,18.43502561819144,960500
2016-08-18,18.50079917907715,18.50079917907715,18.200126252173533,18.3410664626406,525800
2016-08-19,18.604156494140625,18.622949002248067,18.369255519254242,18.482008775746678,824300
2016-08-22,18.56656837463379,18.6041515887869,18.35045996483612,18.594757129362428,514900
2016-08-23,19.036367416381836,19.111535625846116,18.68871332751486,18.68871332751486,941000
2016-08-24,18.82966423034668,19.139733465653475,18.79207921169018,18.980000720668013,938000
2016-08-25,18.745094299316406,18.810866270756172,18.622944816226717,18.810866270756172,755800
2016-08-26,18.716907501220703,18.895432722481676,18.510195313338315,18.735700007069646,1032700
2016-08-29,18.51958656311035,18.745093009894468,18.482003350080788,18.66992479168366,756100
2016-08-30,18.341062545776367,18.557170941817855,18.256498079125066,18.46321022418845,901900
2016-08-31,18.322269439697266,18.378645151555435,18.077972298776448,18.369248900887143,1392100
2016-09-01,18.538389205932617,18.707518237456004,18.36926017440923,18.47261720304078,842000
2016-09-02,18.472610473632812,18.66992820257989,18.350462768781394,18.57596746461233,598700
2016-09-06,18.44441795349121,18.613546888914374,18.359855277931278,18.557171174490538,411600
2016-09-07,18.575963973999023,18.65113219181779,18.406835035868873,18.406835035868873,872700
2016-09-08,18.604156494140625,19.731681890456148,18.444423759531794,19.402820167184768,2637200
2016-09-09,17.880664825439453,18.463218303797532,17.74911904633246,18.43503133068007,1586100
2016-09-12,17.9746150970459,18.002803848679825,17.561190825990895,17.72092350094673,1646900
2016-09-13,17.420251846313477,17.852468648086994,17.401459343935933,17.852468648086994,1318500
